time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
107.0,1729,0.4205607476635514,1.139018691588785,0.0,12.0,120000.0,0.0,0.0,1.0,0.892,1,100,0.0024752475247524753,9.897333333333334,0.45045045045045046,1.0979729729729728,0.0,12.0,120000.0,0.0,0.0,1.0,0.885,0
106.0,1279,0.42452830188679247,1.1497641509433962,0.0,12.0,120000.0,20000.0,1.0,0.0,0.892,0,0,0.0024752475247524753,9.79415,0.4464285714285714,1.1160714285714286,0.0,12.0,120000.0,20000.0,1.0,0.0,0.883,0
72.0,823,0.0,0.26041666666666663,12.5,12.0,120000.0,20000.0,2.0,0.0,0.971,3,100,0.0024752475247524753,-3.93595,0.48689797389359296,1.1065863043036204,0.0,12.0,120000.0,20000.0,1.0,0.0,0.881,1
109.0,1730,0.45871559633027525,1.1181192660550459,0.0,12.0,120000.0,0.0,0.0,1.0,0.888,1,100,0.0024752475247524753,9.897183333333334,0.48672566371681414,1.133849557522124,0.0,12.0,120000.0,0.0,0.0,1.0,0.882,0
73.0,1712,0.0,0.2568493150684931,0.0,12.0,120000.0,0.0,0.0,1.0,0.969,3,100,0.0024752475247524753,-3.936,0.5265004803000631,1.12429790064076,0.0,12.0,120000.0,0.0,0.0,1.0,0.88,1
105.0,1728,0.38095238095238093,1.1607142857142858,0.0,12.0,120000.0,0.0,0.0,1.0,0.895,2,100,0.0024752475247524753,9.647233333333334,0.5217391304347827,1.1684782608695652,0.0,12.0,120000.0,0.0,0.0,1.0,0.878,0
92.0,1272,0.05434782608695652,0.6793478260869564,25.0,12.0,120000.0,20000.0,3.0,0.0,0.921,2,40,0.0024752475247524753,-3.8894333333333337,0.5217391304347827,1.1684782608695652,0.0,12.0,120000.0,20000.0,1.0,0.0,0.878,1
103.0,19,0.33980582524271846,1.0922330097087378,0.0,8.0,80000.0,0.0,0.0,1.0,0.898,1,100,0.0024752475247524753,-3.7701589583333326,0.5586911819593288,1.2087068840466249,0.0,8.0,80000.0,0.0,0.0,1.0,0.876,1
76.0,1264,0.0,0.287828947368421,12.5,12.0,120000.0,20000.0,2.0,0.0,0.959,3,100,0.0024752475247524753,-3.9362,0.555745506519707,1.2023340285282125,0.0,12.0,120000.0,20000.0,1.0,0.0,0.876,1
111.0,1731,0.45045045045045046,1.0979729729729728,0.0,12.0,120000.0,0.0,0.0,1.0,0.885,1,100,0.0024752475247524753,9.813600000000001,0.5555555555555556,1.201923076923077,0.0,12.0,120000.0,0.0,0.0,1.0,0.877,0
91.0,2183,0.054945054945054944,0.6524725274725275,0.0,12.0,120000.0,0.0,0.0,0.0,0.924,2,40,0.0024752475247524753,-3.93615,0.5555555555555556,1.201923076923077,0.0,12.0,120000.0,0.0,0.0,0.0,0.877,1
95.0,1723,0.15789473684210525,0.8223684210526315,0.0,12.0,120000.0,0.0,0.0,1.0,0.913,2,100,0.0024752475247524753,-3.8533337499999996,0.5555080287575396,1.2018202545235233,0.0,12.0,120000.0,0.0,0.0,1.0,0.875,1
76.0,825,0.0,0.287828947368421,0.0,12.0,120000.0,20000.0,1.0,0.0,0.959,3,100,0.0024752475247524753,-3.93625,0.5934214485061505,1.1921413028025345,0.0,12.0,120000.0,20000.0,1.0,0.0,0.875,1
97.0,1724,0.2061855670103093,0.9020618556701031,0.0,12.0,120000.0,0.0,0.0,1.0,0.908,2,100,0.0024752475247524753,-3.8117670833333333,0.5931700200686366,1.191636201030743,0.0,12.0,120000.0,0.0,0.0,1.0,0.873,1
77.0,2176,0.0,0.2840909090909091,0.0,12.0,120000.0,0.0,0.0,0.0,0.958,3,34,0.0024752475247524753,-3.9364,0.6304639685218587,1.182119940978485,0.0,12.0,120000.0,0.0,0.0,0.0,0.872,1
115.0,1733,0.5217391304347827,1.1684782608695652,0.0,12.0,120000.0,0.0,0.0,1.0,0.878,1,100,0.0024752475247524753,9.896983333333333,0.6302521008403361,1.1817226890756303,0.0,12.0,120000.0,0.0,0.0,1.0,0.873,0
